tweet_author_screen_name,tweet_author_user_id
freedomcounts76,1276926745069879297
FreeMusketeerr,1478656999050993665
Frodo5757,460370313
ftmorganfoley,283327240
g_krebbs,1315696692210081794
Gardengirl231,1036513490528157696
GaryMcKinn077,1666947160712138752
geoObserver71,1091689872358686720
GiangolaMalcolm,1586756150606942210
Gkbyrk77,1497936781
gkn08215,242932004
glasswma,362670070
GlenSharp06,1711047694909612032
Gman47291593067,1661217245542993923
GODisDoingIt,1578013916415856640
gogoi_protim,731841546
GregMoo43573649,1434270920647008264
gregraley42,1479642092573970442
GroovyFredrick,1595165631707549717
GrottLouise,1506422386702254081
grv174853,1707856412360192000
Haciaarrib79090,1657458398831742976
hansolo165,3493891092
HarbyOzie,1590217211246944256
heavyhorse14,1594158372244389890
hedgerow67,21290950
HFord65163116,1518676248075153411
HollowM38743396,1379400133272551431
hoskinson_jon,1325852675905257472
hthfan4life,1213141557513052161
I_Am_Ethan_J,744741244987858944
ibnjustice,1611788759149821955
ICN_Jay,1687859727571542017
icthrough_you,819157014072926208
Ihave2Standards,1633127407292137473
indian2783,1431149460369940488
Indianomy_,1427328561271042051
ita_ede,1530991955970338823
itai_2001,1710577912754089984
J_of_the_Ks,1519113507882610688
jamesinDV,908508712893005824
Jamesindyjones,1595912600717430784
JarvisFCB,18223106
Jason89126645,1558935667433844737
JavelFagel,1308827389145866240
jch30736,1622046572556042243
Jeff161550,1658595158420598790
JeffNation1,827249119773196289
jena_ratikanta,2742523426
jenna62290456,1240402705144832002
jeravelo,517763378
jfkempf65,1594134071315161091
JHofsty,1300459170643271680
JimCo72112708,1653090863101231118
Jk454559Kerr,1519345854263529474
johnchr49888141,1551515875454451714
JohnMon59050982,1598163760098721792
JohnWickalick,889260619764965377
JonFerris16,1596628397748273153
JoyrajRaptan,1443774530028294147
JUSTICE92522921,1462579059687399429
KarangeMan,32835147
karmin821,783001976833511424
Kathryn61576257,875744096
kaushik_790,2467865833
KennethBarger17,1518724542600040455
Kevin00264996,1458578517881495552
KeyboardChamp55,1487965020180729859
killmaster6765,1710738647857889280
KlevenoZilla,1313259932486168578
klk346,1427533409740488709
koster_jon,1497055216247533568
Krishna25116431,1601095650401099776
LakeGary,833711210
Lancer681,739974126052495361
Larry31192981,1572326860574302209
lavdeep_sh91137,1708486652535177216
LeftistPhil,1519110199499534337
LegalBeagle78,715969891950526465
LeslieH02919552,1518708408505049090
LETSG0BRAND0N79,1560672350806458368
lezX09,1665623281834287105
LibBullMeter,1608820135422300161
libertyfreedomu,1501738932400230400
LibertyXone,1694926891684184064
libranduofINDIA,1612995426625388546
Lippy_Larry,419344084
Lisa07985952257,1710386886173245440
lisa_hillegas,1596660926047977472
LisafloridaRN,1633612879172599809
Literallysaid1,1557911403813642246
livefree33139,1506794828876636165
Loitus_314,1204845591261597696
LoudSamurai0,1680139698969391105
Lucian71239456,1104167079413010432
M_sammy44,536776327
MAGAgrammy1963,1586773627252637696
malulekesemapoe,1614988487547035654
marine_owen,538574561
MarkMar81312766,1476942635722018838
